record_id,model_kind,cell_id,data_seed,model_seed,beta,both_hitting_time,both_hitting_time_status,causal_starvation_certified,gated_delta_tw,gated_delta_tw_status,regime,right_censored,target_met_at_initialization,weak_auc_gap,weak_hitting_time,weak_hitting_time_status,weak_only_learnable,outcome_suppression,all_beta_robust_causal_certificate
esa-tanh-rho4_lag2-d301-m3010,tanh,rho4_lag2,301,3010,0.5,,right_censored,false,,right_censored,starvation,true,false,17.041442415432535,3.7450123462488172,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3010,tanh,rho4_lag2,301,3010,1,,right_censored,false,,right_censored,starvation,true,false,17.041442415432535,4.4341421777590959,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3010,tanh,rho4_lag2,301,3010,2,,right_censored,false,,right_censored,starvation,true,false,17.041442415432535,5.4697672065855194,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3011,tanh,rho4_lag2,301,3011,0.25,,right_censored,false,,right_censored,starvation,true,false,22.235177681641648,2.0205606152515725,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3011,tanh,rho4_lag2,301,3011,0.5,,right_censored,false,,right_censored,starvation,true,false,22.235177681641648,2.6278923124896667,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3011,tanh,rho4_lag2,301,3011,1,,right_censored,false,,right_censored,starvation,true,false,22.235177681641648,3.2675307473982973,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3011,tanh,rho4_lag2,301,3011,2,,right_censored,false,,right_censored,starvation,true,false,22.235177681641648,4.2183619728225237,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3012,tanh,rho4_lag2,301,3012,0.25,,right_censored,false,,right_censored,starvation,true,false,25.054800183419133,1.713820653402933,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3012,tanh,rho4_lag2,301,3012,0.5,,right_censored,false,,right_censored,starvation,true,false,25.054800183419133,2.263796801480578,finite,true,false,false
esa-tanh-rho4_lag2-d301-m3012,tanh,rho4_lag2,301,3012,1,,right_censored,false,,right_censored,starvation,true,false,25.054800183419133,2.8439617354991196,finite,true,false,false
